,Continent,ISO2,Area,Order,qq
134,Europe,MD,33846.0,90.0,0.38961038961038963
24,Africa,GW,36125.0,91.0,0.3939393939393939
108,Asia,TW,36197.0,92.0,0.39826839826839827
63,Asia,BT,38394.0,93.0,0.4025974025974026
150,Europe,CH,41285.0,94.0,0.4069264069264069
137,Europe,NL,41543.0,95.0,0.41125541125541126
119,Europe,DK,42933.0,96.0,0.4155844155844156
120,Europe,EE,45227.0,97.0,0.4199134199134199
168,Americas,DO,48671.0,98.0,0.42424242424242425
146,Europe,SK,49035.0,99.0,0.42857142857142855
